"Tabla de indicadores","","Fecha de descarga: 18-08-2017 (18:00:59)","","","","","","","","","","","","",""
"Tlaltizapán, Morelos","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Tlaquepaque, Jalisco","Tomas con servicio continuo (%)","","85.69","86.04","88.17","87.96","87.92","87.92","87.68","100","97.42","97.42","","",""
"Tuxpan, Nayarit","Tomas con servicio continuo (%)","","","","","","","","100","71.44","71.92","","","",""
"Zacatepec, Morelos","Tomas con servicio continuo (%)","","","","","85.68","85.29","84.85","67.27","23.79","","","","",""
"Cd. Victoria, Tamaulipas","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","95.12","73.34","98.2","89.18"
"Francisco I. Madero, Coahuila","Tomas con servicio continuo (%)","56.12","56.32","55.25","55.05","63.5","53.94","55.93","53.19","54.59","54.38","57.73","","",""
"Jiutepec, Morelos","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Jojutla, Morelos","Tomas con servicio continuo (%)","","","","","31.9","27.67","42.87","42.88","43.43","","","","",""
"Matamoros, Coahuila","Tomas con servicio continuo (%)","","","100","100","100","100","100","100","100","100","100","","73.45","74.99"
"Matamoros, Tamaulipas","Tomas con servicio continuo (%)","93.88","93.53","100","100","100","100","100","100","100","100","","100","100","100"
"Mérida, Yucatán","Tomas con servicio continuo (%)","100","100","100","100","100","100","100","100","100","100","100","","",""
"Navojoa, Sonora","Tomas con servicio continuo (%)","","","","","","","100","100","100","96.66","93.12","","",""
"Nuevo Laredo, Tamaulipas","Tomas con servicio continuo (%)","100","100","100","100","100","100","99.99","93.81","88.19","85.03","88.04","","",""
"Pátzcuaro, Michoacán","Tomas con servicio continuo (%)","88.3","88.3","88.32","88.26","88.27","88.15","86.4","85.07","86.77","","","","",""
"San Cristobal de las Casas, Chiapas","Tomas con servicio continuo (%)","","","41.8","","","","","","","","","0.49","0.42","0.44"
"San Pedro, Coahuila","Tomas con servicio continuo (%)","","","","","","","","90.97","","","","","",""
"Santa Rosalía, Baja California Sur","Tomas con servicio continuo (%)","23.88","23.01","23.07","22.79","22.97","","","","","","","","",""
"Tehuacan, Puebla","Tomas con servicio continuo (%)","43.59","42","40","40","40","30.02","12.72","21.56","23.11","","13.27","","",""
"Uruapan, Michoacán","Tomas con servicio continuo (%)","93.59","95.01","95.78","95.77","95.32","","","","","","","","",""
"Xalisco, Nayarit","Tomas con servicio continuo (%)","","","19.24","19.33","19.67","19.33","22.37","23.63","25.12","","","","",""
"Zamora, Michoacán","Tomas con servicio continuo (%)","31.7","29.39","26.98","25.45","21.81","20.91","19.94","18.74","16.87","16.48","16.23","","",""
"Zihuatanejo, Guerrero","Tomas con servicio continuo (%)","","","100","","","","","","","","","","",""
"Oaxaca, Oaxaca","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Tapachula, Chiapas","Tomas con servicio continuo (%)","61.82","54.93","56.08","53.21","53.83","44.01","67.02","71.34","30.48","","","","",""
"Tepeji del Río, Hidalgo","Tomas con servicio continuo (%)","100","17.01","16.4","16.46","17.67","18.59","18.52","18.76","18.74","18.77","18.42","21.74","21.64","18.17"
"Tlaxcala, Tlaxcala","Tomas con servicio continuo (%)","","","","100","94.54","90.59","90.26","49.48","46.97","44.81","89.13","","",""
"Tultitlán, México","Tomas con servicio continuo (%)","24.28","27.21","32.66","37.07","","100","100","","","","","","",""
"Santa Catarina, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Zacapu, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","86.44","87.99"
"Loreto, Baja California Sur","Tomas con servicio continuo (%)","","","","","","","","","","","","","100",""
"Tierra Blanca, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Victoria, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","89.17","","","",""
"Santa María del Oro, Nayarit","Tomas con servicio continuo (%)","","","","","","","","","","","","96.33","96.58","93.49"
"Yuriria, Guanajuato","Tomas con servicio continuo (%)","","","","","","","","","","","","","95.23","9.68"
"Ixtlán, Michoacán","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Salvador Alvarado, Sinaloa","Tomas con servicio continuo (%)","","","","","","","","","79.9","74.93","74.84","73.08","71.91","77.85"
"Badiraguato, Sinaloa","Tomas con servicio continuo (%)","","","","","","","","6.08","5.35","5.22","5.1","7.74","9.42",""
"Atizapán de Zaragoza, México","Tomas con servicio continuo (%)","","","","","","","","","","","","16.81","16.76",""
"Bahía de Banderas, Nayarit","Tomas con servicio continuo (%)","","","","","","","","","","","98","98","97.14","95.73"
"Huasca de Ocampo, Hidalgo","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Concepción del Oro, Zacatecas","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Ruiz, Nayarit","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
"Tecuala, Nayarit","Tomas con servicio continuo (%)","","","","","","","","","","","","","88.04","100"
"Río Grande, Zacatecas","Tomas con servicio continuo (%)","","","","","","","","","","","78.26","3.33","39.83","38.73"
"Jalpa, Zacatecas","Tomas con servicio continuo (%)","","","","","","","","","8.57","17.6","21.18","59.5","74.33",""
"San Pedro Cholula, Puebla","Tomas con servicio continuo (%)","100","100","100","95","91.74","90","90.36","87","84","82","82","82","82","88.18"
"Empalme, Sonora","Tomas con servicio continuo (%)","","","","","","","","","","","","","100","98"
"Chalco, México","Tomas con servicio continuo (%)","","","","","","","","","","95","95","95","95","95"
"Luis Moya, Zacatecas","Tomas con servicio continuo (%)","","","","","","","","","","","","","",""
